fund_id,date,bps_rate
35373597,02/05/2022,-0.003842042
35373597,03/05/2022,-0.000866016
35373597,04/05/2022,0.003885039
35373597,05/05/2022,0.002458056
35373597,06/05/2022,0.001756424
35373597,07/05/2022,0.001503583
35373597,08/05/2022,-0.004636691
35373597,09/05/2022,0.002140079
35373597,10/05/2022,0.002191041
35373597,11/05/2022,0.000292708
35373597,12/05/2022,-0.001648269
35373597,13/05/2022,0.002051712
35373597,14/05/2022,-0.001524059
35373597,15/05/2022,-0.001744395
35373597,16/05/2022,-0.004098443
35373597,17/05/2022,0.004762087
35373597,18/05/2022,-0.000573533
35373597,19/05/2022,0.00203615
35373597,20/05/2022,0.001979979
35373597,21/05/2022,0.000571891
35373597,22/05/2022,-0.000462483
35373597,23/05/2022,0.002343582
35373597,24/05/2022,-0.004768565
35373597,25/05/2022,-0.003037733
35373597,26/05/2022,-0.003744931
35373597,27/05/2022,-0.004467326
35373597,28/05/2022,-0.004193462
35373597,29/05/2022,-0.002202561
35373597,30/05/2022,-0.000619106
35373597,31/05/2022,-0.003644719
35373597,01/06/2022,-0.00463165
35373597,02/06/2022,-0.004736624
35373597,03/06/2022,-0.00045615
35373597,04/06/2022,-0.002135811
35373597,05/06/2022,-1.72E-05
35373597,06/06/2022,0.004680667
35373597,07/06/2022,-0.001575668
35373597,08/06/2022,-0.001771893
35373597,09/06/2022,0.003741854
35373597,10/06/2022,0.001856634
35373597,11/06/2022,-0.001419057
35373597,12/06/2022,-0.001410482
35373597,13/06/2022,-0.004110196
35373597,14/06/2022,0.003088097
35373597,15/06/2022,-0.003174943
35373597,16/06/2022,0.001434252
35373597,17/06/2022,0.000950615
35373597,18/06/2022,-0.001254557
35373597,19/06/2022,-0.001527026
35373597,20/06/2022,0.00276729
35373597,21/06/2022,0.001974451
35373597,22/06/2022,0.003976176
35373597,23/06/2022,0.001855207
35373597,24/06/2022,-0.000493274
35373597,25/06/2022,0.002910514
35373597,26/06/2022,0.001203637
35373597,27/06/2022,0.001805575
35373597,28/06/2022,0.003974761
35373597,29/06/2022,0.004128107
35373597,30/06/2022,0.002692816
35373597,01/07/2022,0.000908216
35373597,02/07/2022,-0.004040505
35373597,03/07/2022,0.002867001
35373597,04/07/2022,-0.001433986
35373597,05/07/2022,-0.003621335
35373597,06/07/2022,0.000743309
35373597,07/07/2022,-0.002329839
35373597,08/07/2022,-0.00238048
35373597,09/07/2022,0.001041192
35373597,10/07/2022,0.002121938
35373597,11/07/2022,-0.000266907
35373597,12/07/2022,-0.003430622
35373597,13/07/2022,0.002223334
35373597,14/07/2022,0.004600266
35373597,15/07/2022,-0.001329777
35373597,16/07/2022,-0.002712644
35373597,17/07/2022,0.002758777
35373597,18/07/2022,0.003109826
35373597,19/07/2022,-0.003165755
35373597,20/07/2022,3.80E-05
35373597,21/07/2022,-0.002559291
35373597,22/07/2022,0.000544272
35373597,23/07/2022,-0.00425346
35373597,24/07/2022,0.000754457
35373597,25/07/2022,0.000863224
35373597,26/07/2022,-0.002269618
35373597,27/07/2022,0.001726274
35373597,28/07/2022,-0.004949377
35373597,29/07/2022,0.001624004
35373597,30/07/2022,0.0031363
35373597,31/07/2022,-0.004691613
